Billy Knight,"VAN/MEM (2000-02), ATL (2003-08)"
Irv Kosloff,SYR/PHI (1963-66)
Jon Kovler,CHI (1976-78)
Jerry Krause,"CHI (1976), CHI (1985-2003)"
John Kundla,MNL (1957-59)
Mitch Kupchak,"LAL (2000-17), CHO (2018-20)"
Frank Lane,CHP/CHZ (1962-63)
Frank Layden,NOJ/UTA (1979-87)
Scott Layden,"UTA (1989-99), NYK (1999-2003), MIN (2019)"
Tod Leiweke,"HOU (1993-94), POR (2007)"
Lou Lenart,SDC (1980-81)
Slick Leonard,INA/IND (1975-80)
Jason Levien,MEM (2013-14)
Dennis Lindsey,UTA (2013-20)
Gene Littles,CHH (1990)
Matt Lloyd,ORL (2017)
John Lucas,PHI (1994-96)
Jim Lynam,PHI (1992-94)
Bob MacKinnon,"BUF (1975-77), NJN (1981-83), NJN (1986-87)"
Sean Marks,BRK (2016-20)
Rudy Martzke,CAR/SSL (1974-75)
Jack McCloskey,"DET (1979-92), MIN (1992-95), TOR (2004)"
Ryan McDonough,PHO (2013-19)
Kevin McHale,MIN (1995-2008)
Billy McKinney,"MIN (1988-90), DET (1992-95)"
Jack McMahon,"SDR (1967-68), GSW (1986-87)"
Monte McNair,SAC (2020-21)
Barry Mendelson,NOJ (1976-77)
George Mikan,MNL (1954-57)
Vern Mikkelsen,PTP/MNP (1968-69)
Nick Mileti,CLE (1970-73)
Steve Mills,"NYK (2014), NYK (2017-20)"
Lou Mohs,MNL/LAL (1960-67)
Doxie Moore,AND (1949-50)
Daryl Morey,"HOU (2007-20), PHI (2020)"
William Motsch,KEN (1967-70)
Dick Motta,CHI (1973-76)
Chris Mullin,GSW (2004-09)
Dennis Murphy,MMF/FLO (1969-71)
Bob Myers,GSW (2012-20)
John Nash,"PHI (1986-90), WSB (1990-96), NJN (1999-2000), POR (2003-06)"
Don Nelson,"MIL (1977-87), GSW (1987-95), DAL (1997-2002)"
Donn Nelson,DAL (2002-20)
Pete Newell,"SDR/HOU (1968-72), LAL (1972-76)"
Milt Newton,MIN (2016)
Kevin O'Connor,UTA (1999-2013)
Neil Olshey,"LAC (2010-12), POR (2012-20)"
Bill Orwig,UTS (1975-76)
Ray Patterson,"MIL (1970-72), HOU (1972-89)"
Steve Patterson,"HOU (1989-93), POR (2006-07)"
Jim Paxson,CLE (1999-2005)
John Paxson,CHI (2003-09)
Rob Pelinka,LAL (2019-20)
Scott Perry,NYK (2020)
Geoff Petrie,"POR (1992-94), SAC (1994-2013)"
Randy Pfund,MIA (1996-2008)
Paul Phipps,SDC (1982-84)
Rick Pitino,BOS (1997-2001)
Fred Podesta,"NYK (1957-60), NYK (1961-65)"
Ted Podleski,SDC (1981-82)
Jim Pollard,MNM/MMF (1968-69)
Gregg Popovich,SAS (1994-2002)
Sam Presti,SEA/OKC (2007-20)
Kevin Pritchard,"POR (2007-10), IND (2017-20)"
Jack Ramsay,PHI (1966-70)
Willis Reed,NJN (1990-96)
Jerry Reynolds,SAC (1989-94)
Gene Rhodes,KEN (1973-76)
Don Richman,SEA (1967-68)
Larry Riley,GSW (2009-12)
Pat Riley,MIA (2008-20)
Donald Ringsby,DNR (1969-71)
Doc Rivers,LAC (2013-18)
Andy Roeser,LAC (2012)
Gersson Rosas,MIN (2019-20)
Leon Rose,NYK (2020)
Gabe Rubin,PTP (1967-68)
Bill Russell,"SEA (1973-77), SAC (1988-89)"
Jerry Sachs,BAL (1970-73)
Joe Sachs,BAL (1968-70)
Gary Sacks,LAC (2012-14)
Robert Salyers,IND (1981-86)
Flip Saunders,MIN (2013-15)
Lewis Schaffel,"NOJ (1977-78), ATL (1979), NJN (1983-86), MIA (1987-95)"
Fred Schaus,LAL (1967-72)
Carl Scheer,"CAR (1970-74), DNR/DNA/DEN (1974-84), SDC/LAC (1984-86), CHH (1987-90)"
Travis Schlenk,ATL (2017-20)
Bud Seretean,ATL (1975-77)
John Sharbaro,CHS (1946-50)
Bill Sharman,LAL (1976-82)
Tommy Sheppard,WAS (2019-20)
Bob Short,MNL (1959-60)
Gene Shue,"PHI (1973-74), PHI (1990-92)"
Lee Silverman,MMS (1975)
Francis Smith,DET (1961-64)
Otis Smith,ORL (2005-12)
Norm Sonju,"BUF (1977-78), DAL (1980-96)"
Garry St. Jean,GSW (1997-2004)
Jim Stack,MIN (2008-09)
Ed Stefanski,"NJN (2004-07), PHI (2007-10), DET (2018-20)"
Maurice Stern,NOB (1967-70)
Gordon Stirling,NYK (1986-87)
Rafael Stone,HOU (2020)
Mike Storen,"INA (1967-70), KEN (1970-73), ATL (1977)"
Carl Storey,HSM (1967-69)
Rick Sund,"DET (1998-2000), SEA (2001-07), ATL (2008-12)"
Al Sutphin,CLR (1946-47)
Charles Theokas,"NYA (1969-70), NJN (1978-81)"
Tom Thibodeau,MIN (2016-19)
Isiah Thomas,"TOR (1994-97), NYK (2003-08)"
Rod Thorn,"CHI (1978-85), NJN (2000-04), NJN (2007-08), PHI (2010-12), NJN (2010)"
Dave Twardzik,"CHH (1991-95), GSW (1995-97), ORL (2005-06)"
Peter Tyrell,PHW (1946-52)
Masai Ujiri,"DEN (2010-13), TOR (2013-20)"
Miguel Uline,WSC (1946-50)
Wes Unseld,"WSB/WAS (1996-2000), WAS (2003)"
Butch van Breda Kolff,MMT (1973-74)
Kiki Vandeweghe,"DEN (2001-06), NJN (2008-10)"
Dick Versace,MEM (2002)
Dick Vertlieb,"SEA (1968-69), GSW (1974-76), IND (1980-81)"
Zollie Volchok,"SEA (1969), SEA (1977-83)"
Jan Volk,BOS (1984-90)
Wally Walker,SEA (1994-2001)
Chris Wallace,"BOS (2001-03), MEM (2007-13), MEM (2014-19)"
Donnie Walsh,"IND (1986-2003), NYK (2008-11), IND (2012-13)"
Mark Warkentien,DEN (2006-10)
Don Wattrick,DET (1964-65)
Troy Weaver,DET (2020)
Bob Weinhauer,"HOU (1994-96), MIL (1997-99)"
John Weisbrod,ORL (2004-05)
John Weissert,INA (1970-75)
Harry Weltman,"SSL (1975-76), CLE (1982-86), NJN (1987-90)"
Jeff Weltman,ORL (2017-20)
Jerry West,"LAL (1982-2000), MEM (2002-07)"
Jason Wexler,MEM (2019-20)
Bob Whitsitt,"SEA (1986-94), POR (1994-2003)"
William Wilcox,ATL (1974-75)
Lenny Wilkens,SEA (1985-86)
Max Williams,DLC/TEX (1967-71)
Pat Williams,"CHI (1969-73), ATL (1973-74), PHI (1974-86), ORL (1987-96)"
Tom Willingham,NOJ (1978-79)
Pepper Wilson,CIN (1958-69)
Tom Wilson,DET (1992)
Max Winter,MNL (1948-54)
Dave Wohl,MIA (1995-96)
Frank Zaccanelli,DAL (1996-97)
Justin Zanik,MIL (2017)
Frank Zanin,BRK (2016)
Fred Zollner,FTW (1954-57)
